title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
ANIMALS MAKE US HUMAN,Temple Grandin and Catherine Johnson,Houghton Mifflin Harcourt,"Being attentive to animals’ emotions, both positive and negative, can help them have a better life.",13,1,9780151014897,hardcover-nonfiction,2009-01-27
THE SNOWBALL,Alice Schroeder,Bantam,The life of Warren Buffett.,14,15,9780553805093,hardcover-nonfiction,2009-01-27
THE ASCENT OF MONEY,Niall Ferguson,Penguin Press,"A financial history of the world, stressing the link between politics and economics.",15,5,9781594201929,hardcover-nonfiction,2009-01-27
THE AMERICAN JOURNEY OF BARACK OBAMA,the editors of Life magazine,"Little, Brown","Photographs and essays, starting with Obama’s birth in Hawaii.",16,9,9780316045605,hardcover-nonfiction,2009-01-27
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,17,0,9780316143479,hardcover-nonfiction,2009-01-27
THE BLACK SWAN,Nassim Nicholas Taleb,Random House,The role of the unexpected.,18,0,9781400063512,hardcover-nonfiction,2009-01-27
PANIC!,Michael Lewis,Norton,,19,0,9780393065145,hardcover-nonfiction,2009-01-27
IN DEFENSE OF FOOD,Michael Pollan,Penguin Press,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,20,0,9781594201455,hardcover-nonfiction,2009-01-27
MOMENTS OF CLARITY,Christopher Kennedy Lawford,William Morrow,,21,0,9780061456213,hardcover-nonfiction,2009-01-27
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,22,0,9780670020744,hardcover-nonfiction,2009-01-27
THE INVENTION OF AIR,Steven Johnson,Riverhead,,23,0,9781594488528,hardcover-nonfiction,2009-01-27
ANNIE LEIBOVITZ AT WORK,Annie Leibovitz,Random House,"Memorable photographs, and a text — part memoir, part commentary — based on conversations with the book’s editor.",24,0,9780375505102,hardcover-nonfiction,2009-01-27
WITH WINGS LIKE EAGLES,Michael Korda,Harper,,25,0,9780061125355,hardcover-nonfiction,2009-01-27
LETTER TO MY DAUGHTER,Maya Angelou,Random House,"Reminiscences, appreciations and poems.",26,0,9781400066124,hardcover-nonfiction,2009-01-27
THINGS I'VE BEEN SILENT ABOUT,Azar Nafisi,Random House,,27,0,9781400063611,hardcover-nonfiction,2009-01-27
A JOURNAL FOR JORDAN,Dana Canedy,Crown,,28,0,9780307395795,hardcover-nonfiction,2009-01-27
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",29,0,9780061547751,hardcover-nonfiction,2009-01-27
THE FOREVER WAR,Dexter Filkins,Knopf,A distillation of his work in Iraq and Afghanistan by the New York Times correspondent.,30,0,9780307266392,hardcover-nonfiction,2009-01-27
MRS. ASTOR REGRETS,Meryl Gordon,Houghton Mifflin,,31,0,9780618893737,hardcover-nonfiction,2009-01-27
STREET GANG,Michael Justin Davis,Viking,,32,0,9780670019960,hardcover-nonfiction,2009-01-27
DO THE RIGHT THING,Mike Huckabee,Sentinel,A campaign memoir and statement of principles from the former Republican presidential aspirant.,33,0,9781595230546,hardcover-nonfiction,2009-01-27
TIME PRESIDENT OBAMA,Adi Ignatius,Time Books,"Obama’s path to the White House, with reporting by Time magazine’s political team and photographs by Callie Shell-Aurora.",34,0,9781603200721,hardcover-nonfiction,2009-01-27
DREAMS FROM MY FATHER,Barack Obama,Crown,Stories on life as the son of a Black African father and a white American mother by the man who would become the 44th president of the United States; originally published in 1995.,35,0,9781400082773,hardcover-nonfiction,2009-01-27
