title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",1,1,9781476770383,hardcover-fiction,2014-12-02
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",2,4,9780385537148,hardcover-fiction,2014-12-02
FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.,3,1,9780062325341,hardcover-fiction,2014-12-02
THE BURNING ROOM,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.,4,2,9780316225939,hardcover-fiction,2014-12-02
BLUE LABYRINTH,Douglas Preston and Lincoln Child,Grand Central,Special Agent Aloysius Pendergast is stalked by a killer bent on vengeance.,5,1,9781455525898,hardcover-fiction,2014-12-02
PRINCE LESTAT,Anne Rice,Knopf,The Vampire Chronicles continue after a long hiatus.,6,3,9780307962522,hardcover-fiction,2014-12-02
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",7,5,9780345544926,hardcover-fiction,2014-12-02
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,8,28,9781476746586,hardcover-fiction,2014-12-02
EDGE OF ETERNITY,Ken Follett,Dutton,"In Book 3 of the Century trilogy, five interconnected families face the defining moments of America from the 1960s to the ’80s.",9,9,9780525953098,hardcover-fiction,2014-12-02
THE SLOW REGARD OF SILENT THINGS,Patrick Rothfuss,DAW,"An exploration of the world of Auri, a character in the Kingkiller Chronicles.",10,3,9780756410438,hardcover-fiction,2014-12-02
HAVANA STORM,Clive Cussler,Putnam,Dirk Pitt becomes involved in a post-Castro power struggle in Cuba.,11,3,9780399172922,hardcover-fiction,2014-12-02
LILA,Marilynne Robinson,"Farrar, Straus & Giroux","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead.""",12,6,9780374187613,hardcover-fiction,2014-12-02
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,The Mitford character Father Tim finds friends and family wrestling with difficulties. ,13,11,9780399167447,hardcover-fiction,2014-12-02
DEADLINE,John Sandford,Putnam,Dognappers and a murdered reporter draw the attention of the Minnesota investigator Virgil Flowers.,14,6,9780399162374,hardcover-fiction,2014-12-02
THE HANDSOME MAN'S DE LUXE CAFÉ,Alexander McCall Smith,Pantheon,The 15th book in the No. 1 Ladies’ Detective Agency series.,15,3,9780307911544,hardcover-fiction,2014-12-02
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",16,0,9780316055437,hardcover-fiction,2014-12-02
LET ME BE FRANK WITH YOU,Richard Ford,Ecco/HarperCollins,"In four linked stories, set in the New Jersey suburbs, Ford’s character Frank Bascombe contemplates aging, marriage and Hurricane Sandy.",17,0,9780061692062,hardcover-fiction,2014-12-02
PEGASUS,Danielle Steel,Delacorte,"Fleeing the Nazis, a German aristocrat settles in America with a gift of eight purebred horses from his closest friend.",18,0,9780345530974,hardcover-fiction,2014-12-02
THE NARROW ROAD TO THE DEEP NORTH,Richard Flanagan,Knopf,An Australian medical officer is held in a Japanese P.O.W. camp and forced to work on the Thailand-Burma Railway; winner of the 2014 Man Booker Prize.,19,0,9780385352857,hardcover-fiction,2014-12-02
THE INVENTION OF WINGS,Sue Monk Kidd,Viking,"The bond between a wealthy Charleston girl, who grows up to become an abolitionist, and the slave she is given for her 11th birthday.",20,0,9780670024780,hardcover-fiction,2014-12-02
41,George W. Bush,Crown,"The former president’s portrait of his father, George H.W. Bush",1,1,9780553447781,hardcover-nonfiction,2014-12-02
KILLING PATTON,Bill O'Reilly and Martin Dugard,Holt,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,2,8,9780805096682,hardcover-nonfiction,2014-12-02
YES PLEASE,Amy Poehler,Dey Street/Morrow,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",3,3,9780062268341,hardcover-nonfiction,2014-12-02
THE ANDY COHEN DIARIES,Andy Cohen,Holt,"One year in the (social) life of the TV producer and host of ""Watch What Happpens Live.""",4,1,9781627792288,hardcover-nonfiction,2014-12-02
SMALL VICTORIES,Anne Lamott,Riverhead,"Essays about forgiveness, transformation and grace.",5,1,9781594486296,hardcover-nonfiction,2014-12-02
BEING MORTAL,Atul Gawande,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,6,6,9780805095159,hardcover-nonfiction,2014-12-02
THE ART OF ASKING,Amanda Palmer,Grand Central,"An expansion of a popular TED talk by the singer and blogger about the value of art and of pursuing dreams. 11 hours, 27 minutes unabridged. Read by the author.",7,1,9781455581085,hardcover-nonfiction,2014-12-02
THE COLDER WAR,Marin Katusa,Wiley/Casey Research,A hedge fund manager argues that Vladimir Putin’s ambition is to consolidate Russian power by taking control of the world’s energy resources.,8,1,9781118799949,hardcover-nonfiction,2014-12-02
NOT THAT KIND OF GIRL,Lena Dunham,Random House,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,9,7,9780812994995,hardcover-nonfiction,2014-12-02
WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,,10,11,9780544272996,hardcover-nonfiction,2014-12-02
NO HERO,Mark Owen with Kevin Maurer,Dutton,"In a follow-up to “No Easy Day,” the Navy SEAL team member Matt Bissonnette, writing pseudonymously, describes the challenges of  SEAL training and other missions in which he participated.",11,1,9780525954521,hardcover-nonfiction,2014-12-02
STONEWALLED,Sharyl Attkisson,Harper,An investigative reporter complains of harassment and intimidation by the Obama administration.,12,2,9780062322845,hardcover-nonfiction,2014-12-02
UNDENIABLE,Bill Nye,St. Martin's,,13,2,9781250007131,hardcover-nonfiction,2014-12-02
TRUE LOVE,Jennifer Lopez,Celebra,The entertainer describes what she learned in the two-year period following her divorce.,14,2,9780451468680,hardcover-nonfiction,2014-12-02
DREAMERS AND DECEIVERS,Glenn Beck with Kevin Balfe,Threshold Editions/Mercury Radio Arts,More little-known stories from America’s past.,15,3,9781476783895,hardcover-nonfiction,2014-12-02
SO ANYWAY . . .,John Cleese,Crown Archetype,"A memoir by the comedian, actor and writer, a former member of the Monty Python troupe.",16,2,9780385348249,hardcover-nonfiction,2014-12-02
FOR LOVE OF COUNTRY,Howard Schultz and Rajiv Chandrasekaran,Knopf,,17,0,9781101874455,hardcover-nonfiction,2014-12-02
AS YOU WISH,Cary Elwes with Joe Layden,Touchstone/Simon & Schuster,"The making of the movie “The Princess Bride,” 25 years ago.",18,0,9781476764023,hardcover-nonfiction,2014-12-02
THE INNOVATORS,Walter Isaacson,Simon & Schuster,,19,0,9781476708690,hardcover-nonfiction,2014-12-02
JETER UNFILTERED,Derek Jeter with Anthony Bozza,Jeter Publishing/Gallery Books,,20,0,9781476783666,hardcover-nonfiction,2014-12-02
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",1,1,9781455521197,hardcover-fiction,2014-12-09
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",2,2,9781476770383,hardcover-fiction,2014-12-09
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",3,5,9780385537148,hardcover-fiction,2014-12-09
THE MISTLETOE PROMISE,Richard Paul Evans,Simon & Schuster,A divorced woman enters into a contract with a strange man to pretend to be a couple until Christmas.,4,1,9781476728209,hardcover-fiction,2014-12-09
THE BURNING ROOM,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.,5,3,9780316225939,hardcover-fiction,2014-12-09
THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,Simon & Schuster,A TV producer plans a show about a cold case — the killing of a student found with one shoe missing.,6,1,9781476763125,hardcover-fiction,2014-12-09
FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.,7,2,9780062325341,hardcover-fiction,2014-12-09
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,8,29,9781476746586,hardcover-fiction,2014-12-09
THE JOB,Janet Evanovich and Lee Goldberg,Bantam,"The F.B.I. special agent Kate O’Hare works with Nicolas Fox, a handsome con man, to pursue a drug kingpin.",9,1,9780345543127,hardcover-fiction,2014-12-09
PRINCE LESTAT,Anne Rice,Knopf,The Vampire Chronicles continue after a long hiatus.,10,4,9780307962522,hardcover-fiction,2014-12-09
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",11,6,9780345544926,hardcover-fiction,2014-12-09
EDGE OF ETERNITY,Ken Follett,Dutton,"In Book 3 of the Century trilogy, five interconnected families face the defining moments of America from the 1960s to the ’80s.",12,10,9780525953098,hardcover-fiction,2014-12-09
BLUE LABYRINTH,Douglas Preston and Lincoln Child,Grand Central,Special Agent Aloysius Pendergast is stalked by a killer bent on vengeance.,13,2,9781455525898,hardcover-fiction,2014-12-09
THE SLOW REGARD OF SILENT THINGS,Patrick Rothfuss,DAW,"An exploration of the world of Auri, a character in the Kingkiller Chronicles.",14,4,9780756410438,hardcover-fiction,2014-12-09
LILA,Marilynne Robinson,"Farrar, Straus & Giroux","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead.""",15,7,9780374187613,hardcover-fiction,2014-12-09
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,The Mitford character Father Tim finds friends and family wrestling with difficulties. ,16,12,9780399167447,hardcover-fiction,2014-12-09
HAVANA STORM,Clive Cussler,Putnam,Dirk Pitt becomes involved in a post-Castro power struggle in Cuba.,17,0,9780399172922,hardcover-fiction,2014-12-09
EVERYTHING I NEVER TOLD YOU,Celeste Ng,Penguin Press,A daughter’s death from drowning tears away at a Chinese-American family in 1970s Ohio.,18,0,9781594205712,hardcover-fiction,2014-12-09
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",19,0,9780316055437,hardcover-fiction,2014-12-09
THE HANDSOME MAN'S DE LUXE CAFÉ,Alexander McCall Smith,Pantheon,The 15th book in the No. 1 Ladies’ Detective Agency series.,20,0,9780307911544,hardcover-fiction,2014-12-09
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",1,8,9780385537148,hardcover-fiction,2014-12-30
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,2,32,9781476746586,hardcover-fiction,2014-12-30
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",3,5,9781476770383,hardcover-fiction,2014-12-30
HOPE TO DIE,James Patterson,"Little, Brown","Detective Alex Cross's family has been taken by a psychotic stalker, and Cross must play a deadly game to save them.",4,3,9780316210966,hardcover-fiction,2014-12-30
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",5,4,9781455521197,hardcover-fiction,2014-12-30
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan.,6,2,9780399173356,hardcover-fiction,2014-12-30
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",7,9,9780345544926,hardcover-fiction,2014-12-30
THE BURNING ROOM,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.,8,6,9780316225939,hardcover-fiction,2014-12-30
EDGE OF ETERNITY,Ken Follett,Dutton,"In Book 3 of the Century trilogy, five interconnected families face the defining moments of America from the 1960s to the ’80s.",9,13,9780525953098,hardcover-fiction,2014-12-30
FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.,10,5,9780062325341,hardcover-fiction,2014-12-30
PRINCE LESTAT,Anne Rice,Knopf,The Vampire Chronicles continue after a long hiatus.,11,7,9780307962522,hardcover-fiction,2014-12-30
THE BOSTON GIRL,Anita Diamant,Scribner,The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”,12,1,9781439199350,hardcover-fiction,2014-12-30
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",13,55,9780316055437,hardcover-fiction,2014-12-30
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,The Mitford character Father Tim finds friends and family wrestling with difficulties. ,14,14,9780399167447,hardcover-fiction,2014-12-30
THE MISTLETOE PROMISE,Richard Paul Evans,Simon & Schuster,A divorced woman enters into a contract with a strange man to pretend to be a couple until Christmas.,15,4,9781476728209,hardcover-fiction,2014-12-30
THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,Simon & Schuster,A TV producer plans a show about a cold case — the killing of a student found with one shoe missing.,16,4,9781476763125,hardcover-fiction,2014-12-30
EVERYTHING I NEVER TOLD YOU,Celeste Ng,Penguin Press,A daughter’s death from drowning tears away at a Chinese-American family in 1970s Ohio.,17,0,9781594205712,hardcover-fiction,2014-12-30
STATION ELEVEN,Emily St,Knopf,A traveling theater company looks for an audience among a global pandemic’s survivors.,18,0,9780385353304,hardcover-fiction,2014-12-30
REDEPLOYMENT,Phil Klay,Penguin Press,Twelve stories by a former Marine who served in Iraq; winner of the 2014 National Book Award.,19,0,9781594204999,hardcover-fiction,2014-12-30
LILA,Marilynne Robinson,"Farrar, Straus & Giroux","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead.""",20,0,9780374187613,hardcover-fiction,2014-12-30
KILLING PATTON,Bill O'Reilly and Martin Dugard,Holt,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,1,12,9780805096682,hardcover-nonfiction,2014-12-30
41,George W. Bush,Crown,"The former president’s portrait of his father, George H.W. Bush",2,5,9780553447781,hardcover-nonfiction,2014-12-30
YES PLEASE,Amy Poehler,Dey Street/Morrow,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",3,7,9780062268341,hardcover-nonfiction,2014-12-30
WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,,4,15,9780544272996,hardcover-nonfiction,2014-12-30
HUMANS OF NEW YORK,Brandon Stanton,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by the author.",5,24,9781250038821,hardcover-nonfiction,2014-12-30
YOU CAN'T MAKE THIS UP,Al Michaels with L. Jon Wertheim,Morrow/HarperCollins,,6,4,9780062314963,hardcover-nonfiction,2014-12-30
BEING MORTAL,Atul Gawande,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,7,10,9780805095159,hardcover-nonfiction,2014-12-30
THE ANDY COHEN DIARIES,Andy Cohen,Holt,"One year in the (social) life of the TV producer and host of ""Watch What Happpens Live.""",8,5,9781627792288,hardcover-nonfiction,2014-12-30
AS YOU WISH,Cary Elwes with Joe Layden,Touchstone/Simon & Schuster,"The making of the movie “The Princess Bride,” 25 years ago.",9,8,9781476764023,hardcover-nonfiction,2014-12-30
NOT THAT KIND OF GIRL,Lena Dunham,Random House,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,10,11,9780812994995,hardcover-nonfiction,2014-12-30
THE INNOVATORS,Walter Isaacson,Simon & Schuster,,11,9,9781476708690,hardcover-nonfiction,2014-12-30
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",12,186,9781400064168,hardcover-nonfiction,2014-12-30
SMALL VICTORIES,Anne Lamott,Riverhead,"Essays about forgiveness, transformation and grace.",13,5,9781594486296,hardcover-nonfiction,2014-12-30
JETER UNFILTERED,Derek Jeter with Anthony Bozza,Jeter Publishing/Gallery Books,,14,4,9781476783666,hardcover-nonfiction,2014-12-30
DEEP DOWN DARK,Héctor Tobar,"Farrar, Straus & Giroux","An account, based on interviews, of the experience of the 33 Chilean miners who were trapped underground for 69 days in 2010 and, incredibly, rescued.",15,1,9780374280604,hardcover-nonfiction,2014-12-30
THE KEEPER,Tim Howard with Ali Benjamin,Harper,,16,1,9780062387394,hardcover-nonfiction,2014-12-30
KILLING JESUS,Bill O'Reilly and Martin Dugard,Holt,"The host of ""The O'Reilly Factor"" recounts the events leading up to Jesus’ execution.",17,0,9780805098549,hardcover-nonfiction,2014-12-30
FOOD,Jim Gaffigan,Crown Archetype,"The comedian, author of “Dad Is Fat,” describes his relationship with food.",18,0,9780804140416,hardcover-nonfiction,2014-12-30
DREAMERS AND DECEIVERS,Glenn Beck with Kevin Balfe,Threshold Editions/Mercury Radio Arts,More little-known stories from America’s past.,19,0,9781476783895,hardcover-nonfiction,2014-12-30
SO ANYWAY . . .,John Cleese,Crown Archetype,"A memoir by the comedian, actor and writer, a former member of the Monty Python troupe.",20,0,9780385348249,hardcover-nonfiction,2014-12-30
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",1,9,9780385537148,hardcover-fiction,2015-01-06
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",2,6,9781476770383,hardcover-fiction,2015-01-06
HOPE TO DIE,James Patterson,"Little, Brown","Detective Alex Cross's family has been taken by a psychotic stalker, and Cross must play a deadly game to save them.",3,4,9780316210966,hardcover-fiction,2015-01-06
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,4,33,9781476746586,hardcover-fiction,2015-01-06
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",5,5,9781455521197,hardcover-fiction,2015-01-06
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan.,6,3,9780399173356,hardcover-fiction,2015-01-06
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",7,10,9780345544926,hardcover-fiction,2015-01-06
THE BURNING ROOM,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.,8,7,9780316225939,hardcover-fiction,2015-01-06
REDEPLOYMENT,Phil Klay,Penguin Press,Twelve stories by a former Marine who served in Iraq; winner of the 2014 National Book Award.,9,2,9781594204999,hardcover-fiction,2015-01-06
EDGE OF ETERNITY,Ken Follett,Dutton,"In Book 3 of the Century trilogy, five interconnected families face the defining moments of America from the 1960s to the ’80s.",10,14,9780525953098,hardcover-fiction,2015-01-06
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",11,56,9780316055437,hardcover-fiction,2015-01-06
FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.,12,6,9780062325341,hardcover-fiction,2015-01-06
PRINCE LESTAT,Anne Rice,Knopf,The Vampire Chronicles continue after a long hiatus.,13,8,9780307962522,hardcover-fiction,2015-01-06
STATION ELEVEN,Emily St,Knopf,A traveling theater company looks for an audience among a global pandemic’s survivors.,14,2,9780385353304,hardcover-fiction,2015-01-06
THE BOSTON GIRL,Anita Diamant,Scribner,The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”,15,2,9781439199350,hardcover-fiction,2015-01-06
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,The Mitford character Father Tim finds friends and family wrestling with difficulties. ,16,15,9780399167447,hardcover-fiction,2015-01-06
THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,Simon & Schuster,A TV producer plans a show about a cold case — the killing of a student found with one shoe missing.,17,0,9781476763125,hardcover-fiction,2015-01-06
LILA,Marilynne Robinson,"Farrar, Straus & Giroux","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead.""",18,0,9780374187613,hardcover-fiction,2015-01-06
THE MISTLETOE PROMISE,Richard Paul Evans,Simon & Schuster,A divorced woman enters into a contract with a strange man to pretend to be a couple until Christmas.,19,0,9781476728209,hardcover-fiction,2015-01-06
THE BONE CLOCKS,David Mitchell,Random House,Interconnected tales in settings from England in the ’80s to the apocalyptic future revolve around a central character.   ,20,0,9781400065677,hardcover-fiction,2015-01-06
KILLING PATTON,Bill O'Reilly and Martin Dugard,Holt,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,1,13,9780805096682,hardcover-nonfiction,2015-01-06
41,George W. Bush,Crown,"The former president’s portrait of his father, George H.W. Bush",2,6,9780553447781,hardcover-nonfiction,2015-01-06
WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,,3,16,9780544272996,hardcover-nonfiction,2015-01-06
YES PLEASE,Amy Poehler,Dey Street/Morrow,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",4,8,9780062268341,hardcover-nonfiction,2015-01-06
HUMANS OF NEW YORK,Brandon Stanton,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by the author.",5,25,9781250038821,hardcover-nonfiction,2015-01-06
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",6,187,9781400064168,hardcover-nonfiction,2015-01-06
AS YOU WISH,Cary Elwes with Joe Layden,Touchstone/Simon & Schuster,"The making of the movie “The Princess Bride,” 25 years ago.",7,9,9781476764023,hardcover-nonfiction,2015-01-06
THE ANDY COHEN DIARIES,Andy Cohen,Holt,"One year in the (social) life of the TV producer and host of ""Watch What Happpens Live.""",8,6,9781627792288,hardcover-nonfiction,2015-01-06
BEING MORTAL,Atul Gawande,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,9,11,9780805095159,hardcover-nonfiction,2015-01-06
YOU CAN'T MAKE THIS UP,Al Michaels with L. Jon Wertheim,Morrow/HarperCollins,,10,5,9780062314963,hardcover-nonfiction,2015-01-06
THE INNOVATORS,Walter Isaacson,Simon & Schuster,,11,10,9781476708690,hardcover-nonfiction,2015-01-06
NOT THAT KIND OF GIRL,Lena Dunham,Random House,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,12,12,9780812994995,hardcover-nonfiction,2015-01-06
JETER UNFILTERED,Derek Jeter with Anthony Bozza,Jeter Publishing/Gallery Books,,13,5,9781476783666,hardcover-nonfiction,2015-01-06
SO ANYWAY . . .,John Cleese,Crown Archetype,"A memoir by the comedian, actor and writer, a former member of the Monty Python troupe.",14,5,9780385348249,hardcover-nonfiction,2015-01-06
SMALL VICTORIES,Anne Lamott,Riverhead,"Essays about forgiveness, transformation and grace.",15,6,9781594486296,hardcover-nonfiction,2015-01-06
I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown","The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and won the Nobel Peace Prize.
",16,40,9780316322409,hardcover-nonfiction,2015-01-06
THINGS THAT MATTER,Charles Krauthammer,Crown Forum,Three decades’ worth of essays from the conservative columnist.,17,0,9780385349178,hardcover-nonfiction,2015-01-06
DREAMERS AND DECEIVERS,Glenn Beck with Kevin Balfe,Threshold Editions/Mercury Radio Arts,More little-known stories from America’s past.,18,0,9781476783895,hardcover-nonfiction,2015-01-06
IN THE KINGDOM OF ICE,Hampton Sides,Doubleday,An 1879 polar voyage gone terribly wrong.,19,0,9780385535373,hardcover-nonfiction,2015-01-06
FOOD,Jim Gaffigan,Crown Archetype,"The comedian, author of “Dad Is Fat,” describes his relationship with food.",20,0,9780804140416,hardcover-nonfiction,2015-01-06
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",1,10,9780385537148,hardcover-fiction,2015-01-13
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,2,34,9781476746586,hardcover-fiction,2015-01-13
HOPE TO DIE,James Patterson,"Little, Brown","Detective Alex Cross's family has been taken by a psychotic stalker, and Cross must play a deadly game to save them.",3,5,9780316210966,hardcover-fiction,2015-01-13
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",4,7,9781476770383,hardcover-fiction,2015-01-13
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",5,6,9781455521197,hardcover-fiction,2015-01-13
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan.,6,4,9780399173356,hardcover-fiction,2015-01-13
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",7,11,9780345544926,hardcover-fiction,2015-01-13
REDEPLOYMENT,Phil Klay,Penguin Press,Twelve stories by a former Marine who served in Iraq; winner of the 2014 National Book Award.,8,3,9781594204999,hardcover-fiction,2015-01-13
THE BURNING ROOM,Michael Connelly,"Little, Brown",The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.,9,8,9780316225939,hardcover-fiction,2015-01-13
FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.,10,7,9780062325341,hardcover-fiction,2015-01-13
PRINCE LESTAT,Anne Rice,Knopf,The Vampire Chronicles continue after a long hiatus.,11,9,9780307962522,hardcover-fiction,2015-01-13
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",12,57,9780316055437,hardcover-fiction,2015-01-13
EDGE OF ETERNITY,Ken Follett,Dutton,"In Book 3 of the Century trilogy, five interconnected families face the defining moments of America from the 1960s to the ’80s.",13,15,9780525953098,hardcover-fiction,2015-01-13
STATION ELEVEN,Emily St,Knopf,A traveling theater company looks for an audience among a global pandemic’s survivors.,14,3,9780385353304,hardcover-fiction,2015-01-13
THE BOSTON GIRL,Anita Diamant,Scribner,The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”,15,3,9781439199350,hardcover-fiction,2015-01-13
THE BONE CLOCKS,David Mitchell,Random House,Interconnected tales in settings from England in the ’80s to the apocalyptic future revolve around a central character.   ,16,6,9781400065677,hardcover-fiction,2015-01-13
